SamAccountName,Application,Role,Anomaly
gfleury,Credit,Credit-Decisionnaire,
cdurand,Paiements-SEPA,Paiements-Validateur,
sbrunet,KYC-LCBFT,KYC-Validateur,
svc-backup,CoreBanking,CoreBanking-Consultation,
svc-monitoring,Risques,Risques-Consultation,
svc-batch-sepa,Paiements-SEPA,Paiements-Initiateur,
svc-deploy,CoreBanking,CoreBanking-Consultation,
mchevalier,Credit,Credit-Decisionnaire,A01
dfabre,Paiements-SEPA,Paiements-Validateur,A02
bhenry,CoreBanking,CoreBanking-Admin,A03
bhenry,Paiements-SEPA,Paiements-Validateur,A03
eloiseau,Tresorerie-Marches,Tresorerie-BackOffice,A04
jmasson,CoreBanking,CoreBanking-Operateur,A05
jmasson,KYC-LCBFT,KYC-Validateur,A05
fguillot,Risques,Risques-Admin,A06
fguillot,Monetique,Monetique-Admin,A06
jbarre,Comptabilite,Comptabilite-Approbateur,A07
hguerin,CRM,CRM-Lecture,A08
legacy-admin,CoreBanking,CoreBanking-Admin,A12
former-employee,Paiements-SEPA,Paiements-Validateur,A12
former-employee,Monetique,Monetique-Legacy-Operateur,A10
old-user01,Credit,Credit-Consultation,A12
old-user02,Paiements-SEPA,Paiements-Consultation,A12
stagiaire-2023,KYC-LCBFT,KYC-Consultation,A12
test-user,CoreBanking,CoreBanking-Consultation,A12
mkaci,ITSM,IT-Admin,
lbaron,SecOps,Security-Admin,
acolas,DevOps,Dev-Admin,
lgaillard,Helpdesk,Helpdesk-Admin,
droy,Achats,Achats-Manager,
naubert,ITSM,IT-Admin,A13
naubert,SecOps,Security-Admin,A13
eriou,DevOps,Dev-Admin,A14
eriou,CoreBanking,CoreBanking-Admin,A14
slopes,Achats,Achats-Manager,A15
slopes,Comptabilite,Comptabilite-Approbateur,A15
croussel,CRM,CRM-Manager,
gfleury,ERP,ERP-Approbateur,
